name,r_in,g_in,b_in,raw0,raw1,raw2,raw3,raw4,raw5,X,Y,Z,x,y
grey_000,0,0,0,10,13,11,1,1,100,0.123156,0.135032,0.343057,0.204834,0.224587
grey_100,0.1,0.1,0.1,49,54,31,1,1,101,0.719338,0.715531,1.099580,0.283824,0.282322
grey_200,0.2,0.2,0.2,165,176,95,1,1,102,2.495594,2.438187,3.522459,0.295119,0.288330
grey_300,0.3,0.3,0.3,400,426,219,1,1,105,6.085759,5.971405,8.215294,0.300198,0.294558
grey_400,0.4,0.4,0.4,749,795,404,1,1,110,11.421659,11.187692,15.216399,0.301955,0.295769
grey_500,0.5,0.5,0.5,1241,1316,665,1,1,116,18.942783,18.551735,25.093950,0.302656,0.296408
grey_600,0.6,0.6,0.6,1864,1976,996,1,1,124,28.466393,27.879685,37.620947,0.302940,0.296696
grey_700,0.7,0.7,0.7,2660,2823,1422,1,1,135,40.630902,39.843908,53.745686,0.302718,0.296854
grey_800,0.8,0.8,0.8,3612,3841,1909,1,1,148,55.156290,54.242026,72.171466,0.303775,0.298739
grey_900,0.9,0.9,0.9,4820,5116,2636,1,1,165,73.688063,72.178901,99.719975,0.300049,0.293904
grey_1000,1,1,1,6354,6727,3395,1,1,192,97.121642,95.018262,128.417324,0.302978,0.296416
red_250,0.25,0,0,118,68,15,1,1,101,1.830270,1.022664,0.454714,0.553345,0.309182
grn_250,0,0.25,0,104,204,20,1,1,101,1.389828,2.791125,0.692922,0.285159,0.572671
blu_250,0,0,0.25,62,35,134,1,1,100,1.034595,0.378957,5.028708,0.160595,0.058824
red_500,0.5,0,0,520,271,29,1,1,106,8.186606,4.304807,0.835811,0.614277,0.323009
grn_500,0,0.5,0,454,915,54,1,1,105,6.106757,12.678082,2.014285,0.293606,0.609549
blu_500,0,0,0.5,249,116,582,1,1,103,4.313202,1.275199,22.096670,0.155795,0.046061
red_750,0.75,0,0,1280,654,52,1,1,116,20.202413,10.503104,1.423367,0.628793,0.326905
grn_750,0,0.75,0,1142,2289,116,1,1,112,15.412390,31.806177,4.419863,0.298467,0.615940
blu_750,0,0,0.75,620,284,1464,1,1,110,10.801807,3.156646,55.700182,0.155068,0.045316
red_1000,1,0,0,2553,1287,75,1,1,136,40.331586,20.788667,1.810950,0.640884,0.330340
grn_1000,0,1,0,2495,4791,201,1,1,129,33.998983,66.820109,7.679476,0.313359,0.615862
blu_1000,0,0,1,1370,726,3155,1,1,126,23.696776,8.405876,120.140174,0.155651,0.055214
